gamePk,home_team_id,home_batting_player_avg,home_batting_player_OPS,home_batting_player_K_rate,home_batting_player_BB_rate,home_batting_player_productive_outs,home_batting_player_homeRuns,home_batting_player_hits,home_batting_player_rbi,home_batting_player_doubles,home_batting_player_triples,home_batting_player_singles,away_team_id,away_batting_player_avg,away_batting_player_OPS,away_batting_player_K_rate,away_batting_player_BB_rate,away_batting_player_productive_outs,away_batting_player_homeRuns,away_batting_player_hits,away_batting_player_rbi,away_batting_player_doubles,away_batting_player_triples,away_batting_player_singles
746144,119,0.19814814814814813,0.537037037037037,0.2533333333333333,0.15,1,1,7,3,0,0,6,113,0.29545454545454547,0.753030303030303,0.22777777777777777,0.17361111111111108,0,0,6,2,3,0,3
746145,119,0.17592592592592593,0.5277777777777778,0.2962962962962963,0.027777777777777776,0,0,6,2,3,1,2,109,0.32037037037037036,0.8481481481481481,0.17222222222222222,0.05,0,2,12,7,1,0,9
746146,119,0.3083333333333333,0.9333333333333332,0.05833333333333333,0.05,0,3,8,6,0,0,5,109,0.2533333333333333,0.7216666666666667,0.24666666666666667,0.02,0,2,10,4,2,0,6
746147,119,0.19696969696969696,0.7424242424242423,0.26515151515151514,0.13636363636363635,1,2,5,7,1,0,2,146,0.17592592592592593,0.5462962962962963,0.17592592592592593,0.0,0,2,6,2,1,0,3
746148,119,0.2685185185185185,0.924074074074074,0.05,0.10555555555555556,0,3,9,6,0,0,6,113,0.24166666666666664,0.7083333333333333,0.18333333333333332,0.0,0,2,8,3,0,0,6
746149,119,0.2777777777777778,1.011111111111111,0.16666666666666666,0.13333333333333333,0,4,9,6,0,0,5,146,0.18181818181818182,0.5075757575757576,0.26515151515151514,0.0,0,1,7,3,1,0,5
746150,119,0.1590909090909091,0.3939393939393939,0.356060606060606,0.07575757575757575,0,0,4,2,0,0,4,113,0.32,0.8800000000000001,0.27,0.065,0,1,11,6,4,0,6
746151,119,0.21296296296296294,0.6111111111111112,0.09259259259259259,0.037037037037037035,0,1,6,3,1,0,4,146,0.18518518518518517,0.45370370370370366,0.19444444444444445,0.0,0,1,6,1,0,0,5
746152,119,0.20757575757575755,0.6075757575757575,0.2,0.09090909090909091,0,1,9,4,1,0,7,144,0.13333333333333336,0.4033333333333333,0.2733333333333333,0.025,1,2,6,3,0,0,4
746153,119,0.1388888888888889,0.6574074074074073,0.24074074074074073,0.10185185185185185,0,3,5,5,0,0,2,144,0.14166666666666666,0.4083333333333333,0.2583333333333333,0.05,0,1,5,1,0,0,4
746154,119,0.2847222222222222,0.9638888888888889,0.11794871794871795,0.19487179487179487,0,2,9,10,4,0,3,121,0.19444444444444442,0.38888888888888884,0.3194444444444444,0.0,0,0,7,0,0,0,7
746155,119,0.37777777777777777,1.2277777777777779,0.15555555555555556,0.1111111111111111,0,5,16,11,0,1,10,144,0.1515151515151515,0.4318181818181818,0.37121212121212116,0.045454545454545456,0,0,6,2,3,0,3
746156,119,0.20666666666666664,0.6666666666666667,0.30666666666666664,0.2,1,0,6,4,2,0,4,121,0.20909090909090908,0.6727272727272727,0.06666666666666667,0.18333333333333335,1,1,8,6,3,0,4
746157,119,0.2863636363636364,0.8227272727272728,0.33636363636363636,0.10757575757575756,0,1,13,5,3,0,9,120,0.2037037037037037,0.5833333333333334,0.14814814814814814,0.027777777777777776,0,1,6,2,1,0,4
746158,119,0.21805555555555556,0.4708333333333334,0.24166666666666667,0.0,2,0,9,4,2,0,7,120,0.2296296296296296,0.7611111111111111,0.18888888888888888,0.05555555555555555,0,2,8,5,4,0,2
746159,119,0.15,0.425,0.2583333333333333,0.05,0,0,5,0,2,0,3,120,0.14814814814814814,0.5,0.32407407407407407,0.12037037037037036,1,1,4,2,0,0,3
746160,119,0.1515151515151515,0.4727272727272727,0.22727272727272727,0.12272727272727274,0,0,6,4,2,0,4,121,0.29500000000000004,0.795,0.275,0.04,1,2,14,9,2,0,10
746161,119,0.22407407407407406,0.5574074074074074,0.18888888888888888,0.1,2,0,8,5,0,0,8,135,0.20833333333333334,0.4833333333333333,0.2833333333333333,0.025,0,0,7,2,2,0,5
746162,119,0.13636363636363635,0.6272727272727273,0.1606060606060606,0.08484848484848485,0,4,7,7,2,0,1,135,0.225,0.7449999999999999,0.20500000000000002,0.06000000000000001,0,4,10,8,0,0,6
746163,119,0.2777777777777778,0.8796296296296295,0.17592592592592593,0.09259259259259259,0,2,9,5,1,0,6,137,0.15740740740740738,0.5925925925925927,0.35185185185185186,0.05555555555555555,0,2,5,4,1,0,2
746164,119,0.18518518518518517,0.5462962962962963,0.09259259259259259,0.08333333333333333,0,1,6,3,1,0,4,135,0.24166666666666664,0.875,0.08181818181818182,0.3318181818181818,1,1,8,5,2,0,5
746165,119,0.27777777777777773,0.8402777777777777,0.2847222222222222,0.08333333333333333,1,2,10,7,2,0,6,138,0.08333333333333333,0.2777777777777778,0.19444444444444445,0.027777777777777776,0,1,3,1,0,0,2
746166,119,0.3409090909090909,0.9696969696969696,0.16666666666666666,0.09848484848484848,0,2,8,5,2,0,4,138,0.23888888888888887,0.5962962962962962,0.31666666666666665,0.08333333333333333,1,0,8,4,1,0,7
746167,119,0.25,1.0185185185185184,0.28703703703703703,0.05555555555555555,0,4,7,6,1,0,2,138,0.16666666666666666,0.4333333333333333,0.35,0.05,1,0,6,3,1,0,5
746168,119,0.3277777777777778,0.8129629629629629,0.3037037037037037,0.07777777777777778,0,1,14,5,1,0,12,138,0.18666666666666668,0.4766666666666667,0.22333333333333333,0.04,1,0,7,5,2,0,5
746169,119,0.2759259259259259,0.8407407407407407,0.29444444444444445,0.1388888888888889,0,1,9,5,3,0,5,137,0.22575757575757577,0.6515151515151515,0.1409090909090909,0.09090909090909091,0,1,9,4,2,0,6
746170,119,0.32407407407407407,0.8796296296296297,0.28703703703703703,0.05555555555555555,1,1,9,8,3,1,4,137,0.24,0.6466666666666667,0.17575757575757575,0.19848484848484851,1,1,8,3,0,0,7
746171,108,0.33888888888888885,0.9592592592592593,0.1888888888888889,0.05555555555555555,0,2,13,8,2,0,9,140,0.34722222222222227,1.0763888888888888,0.19305555555555554,0.1527777777777778,0,2,9,7,2,1,4
746172,108,0.11805555555555557,0.3666666666666667,0.2571428571428572,0.23809523809523808,1,0,7,4,0,0,7,145,0.11944444444444445,0.3527777777777778,0.33589743589743587,0.14358974358974358,2,1,6,3,0,0,5
