gamePk,team_side,team_id,team_name,inningsPitched,outs,runs,earnedRuns,hits,homeRuns,strikeOuts,baseOnBalls,hitBatsmen,numberOfPitches,balls,strikes,strikePercentage,groundOuts,flyOuts,completeGames,shutouts,saveOpportunities
745980,home,158,Milwaukee Brewers,10.0,30,3,3,8,2,9,0,1,144,43,101,.700,9,8,0,0,0
746870,away,113,Cincinnati Reds,8.0,24,7,7,6,2,9,6,2,145,61,84,.580,5,6,0,0,0
746870,home,112,Chicago Cubs,9.0,27,5,1,10,0,11,4,1,152,57,95,.630,7,6,0,0,0
745251,away,108,Los Angeles Angels,8.0,24,9,9,9,2,6,7,1,175,77,98,.560,7,4,0,0,0
745251,home,136,Seattle Mariners,9.0,27,0,0,6,0,12,1,0,136,46,90,.660,5,4,0,1,0
745575,away,138,St. Louis Cardinals,8.0,24,6,4,7,1,13,4,0,136,52,84,.620,6,5,0,0,0
745575,home,143,Philadelphia Phillies,9.0,27,1,1,5,0,13,0,0,135,39,96,.710,8,5,0,0,0
745332,away,147,New York Yankees,9.0,27,3,2,5,1,12,3,0,143,53,90,.630,6,6,0,0,0
745332,home,137,San Francisco Giants,9.0,27,7,7,11,2,9,1,0,136,38,98,.720,9,5,0,0,0
746138,away,115,Colorado Rockies,8.0,24,4,4,11,0,7,4,0,160,56,104,.650,6,9,0,0,0
746138,home,119,Los Angeles Dodgers,9.0,27,1,1,9,0,10,1,0,139,46,93,.670,10,4,0,0,0
746383,away,142,Minnesota Twins,9.0,27,3,3,6,2,8,3,0,141,43,98,.700,10,5,0,0,0
746383,home,117,Houston Astros,9.0,27,4,4,7,2,10,2,0,138,45,93,.670,6,8,0,0,0
746953,away,116,Detroit Tigers,10.0,30,4,3,8,1,7,6,0,151,60,91,.600,6,8,0,0,0
746953,home,111,Boston Red Sox,10.0,30,8,7,14,0,8,3,0,157,53,104,.660,12,4,0,0,0
747030,away,139,Tampa Bay Rays,9.0,27,3,3,15,1,4,2,1,137,45,92,.670,8,7,0,0,0
747030,home,110,Baltimore Orioles,9.0,27,4,4,13,1,3,1,1,132,43,89,.670,6,13,0,0,0
747110,away,133,Oakland Athletics,8.0,24,3,2,7,0,8,5,0,135,52,83,.610,8,4,0,0,0
747110,home,144,Atlanta Braves,9.0,27,1,1,2,1,9,7,1,138,54,84,.610,9,5,0,0,0
744929,away,134,Pittsburgh Pirates,8.0,24,5,4,11,0,4,1,0,152,50,102,.670,10,5,0,0,0
