gamePk,team_side,team_id,team_name,atBats,hits,doubles,triples,homeRuns,rbi,strikeOuts,baseOnBalls,avg,obp,slg,ops,stolenBases,caughtStealing,plateAppearances,leftOnBase
745154,away,113,Cincinnati Reds,29,2,1,0,0,0,8,2,.229,.305,.376,.681,1,0,31,7
745154,home,138,St. Louis Cardinals,31,7,1,0,0,2,10,2,.239,.306,.376,.682,0,0,35,19
745320,away,119,Los Angeles Dodgers,35,8,3,0,1,4,7,2,.256,.335,.439,.774,0,0,37,9
745320,home,137,San Francisco Giants,37,16,10,0,1,10,5,3,.247,.317,.391,.708,0,0,42,17
746209,away,116,Detroit Tigers,34,8,1,1,2,7,6,2,.228,.293,.368,.661,0,0,37,9
746209,home,108,Los Angeles Angels,33,9,1,0,2,5,8,3,.238,.305,.392,.697,1,0,37,16
747182,away,133,Oakland Athletics,32,5,0,0,1,1,13,2,.221,.292,.372,.664,1,0,34,14
747182,home,109,Arizona Diamondbacks,29,8,4,0,0,5,5,6,.250,.321,.398,.719,0,0,38,18
745243,away,142,Minnesota Twins,34,8,1,0,1,5,6,0,.249,.318,.422,.740,2,0,35,7
745243,home,136,Seattle Mariners,38,9,1,1,0,2,11,2,.218,.298,.365,.663,3,0,42,27
747016,away,140,Texas Rangers,40,13,3,1,3,11,8,4,.238,.308,.376,.684,0,0,48,21
747016,home,110,Baltimore Orioles,35,7,2,0,0,2,12,0,.255,.316,.462,.778,0,0,36,14
744914,away,117,Houston Astros,30,4,1,0,2,3,9,2,.264,.322,.423,.745,0,0,32,4
744914,home,141,Toronto Blue Jays,31,4,1,0,1,1,7,4,.234,.311,.373,.684,1,0,36,18
744840,away,121,New York Mets,42,12,3,1,2,9,13,2,.250,.323,.417,.740,2,0,45,11
744840,home,120,Washington Nationals,40,11,2,0,0,6,6,4,.236,.304,.364,.668,0,0,44,19
746535,away,158,Milwaukee Brewers,40,14,1,1,1,7,7,2,.257,.332,.400,.732,2,0,43,16
746535,home,115,Colorado Rockies,40,13,2,0,3,8,4,5,.245,.305,.391,.696,1,0,45,17
745482,away,138,St. Louis Cardinals,39,13,4,0,2,7,12,2,.240,.307,.379,.686,0,0,43,15
745482,home,134,Pittsburgh Pirates,32,7,0,0,2,4,10,1,.227,.296,.359,.655,0,0,33,7
746623,away,145,Chicago White Sox,35,9,2,0,2,6,11,1,.220,.281,.347,.628,1,0,36,5
746623,home,114,Cleveland Guardians,33,7,2,0,2,6,6,1,.245,.318,.411,.729,0,0,35,8
746047,away,111,Boston Red Sox,40,13,2,0,2,8,11,2,.252,.321,.420,.741,1,0,42,11
746047,home,146,Miami Marlins,34,7,0,0,2,3,9,0,.231,.279,.351,.630,0,0,34,6
744838,away,121,New York Mets,41,11,4,0,2,7,14,0,.250,.322,.419,.741,2,0,41,9
744838,home,120,Washington Nationals,35,6,1,0,0,2,7,3,.235,.304,.362,.666,0,2,39,19
745730,away,113,Cincinnati Reds,32,5,1,1,2,5,8,4,.228,.304,.377,.681,0,0,38,14
745730,home,147,New York Yankees,35,6,1,0,1,4,5,2,.250,.331,.428,.759,0,0,37,12
744913,away,117,Houston Astros,34,8,1,0,1,6,6,2,.263,.322,.422,.744,0,0,37,14
